"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,6,0,6,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458015,492232
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458015,492232
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | BB",1,0,3,0,0,0,0,0,1,0,1,0,4,0,0,5,1,0,3,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458015,492232
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"810451ef-6eb6-4af7-9558-e027ee59a410",7,"2017-09-10T17:17:39.379Z","2017-09-10T17:17:44.218Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,FALSE,TRUE,1,0,FALSE,FALSE,"B","Ball","SL","Slider",4,2,0,1,88.8,81.7,3.469,1.8375,11,2,0.4199,6.7691,25.9881,-32.608,0.7738,-0.2555,-1.04,2.8351,0.1609,-129.2675,-0.0155,156.64,162.23,-1.2035,50,5.3366,1.3143,2.4,7.2,24,2546,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",458015,492232
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"d0d4bca4-7121-48da-9106-eda4f43eebc2",4,"2017-09-10T18:01:49.393Z","2017-09-10T18:01:59.203Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,2,1,TRUE,FALSE,"X","In play, out(s)","SL","Slider",1,2,1,3,89.1,82.8,3.4137,1.4951,13,2,0.4143,7.1136,24.2554,-29.1472,-0.0821,1.7536,-0.5674,1.3334,2.0918,-129.8169,-4.3447,138.63,202.78,-1.369,50,5.2183,-0.1418,0,7.2,24,2482,167,88.2,-20,3,"ground_ball","medium","6",105.02,135.52,NA,"playLog","hitting",458015,492232
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"06b7dba5-b75e-4d7c-96e7-db1d2340cb65",3,"2017-09-10T18:45:59.474Z","2017-09-10T18:46:07.015Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,2,2,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",0,2,3,5,97.3,88,3.3724,1.4539,11,2,0.383,7.1355,34.8662,-10.7063,-5.9988,10.6862,-0.2614,3.6581,4.0425,-141.4622,-2.6144,126.96,140.01,-0.936,50,5.2888,-12.0511,44.4,3.6,24,2406,209,74.8,-14,13,"ground_ball","medium","4",156.78,138.06,NA,"playLog","hitting",458015,492232
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"8cf5ffee-1b76-4c78-abc3-c28c02e1156c",3,"2017-09-10T19:35:11.824Z","2017-09-10T19:35:21.700Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,5,5,FALSE,FALSE,"D","In play, no out","CH","Changeup",1,1,2,7,81.7,74.1,3.5312,1.6127,6,2,0.4608,6.6873,24.5401,-22.3814,8.5745,6.9417,0.4594,2.4343,-7.187,-118.5571,-1.6206,99.71,172.99,2.4292,50,5.1871,12.0959,25.2,7.2,24,2061,127,94.9,21,272,"line_drive","medium","9",185.2,107.55,NA,"playLog","hitting",458015,492232
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"dfef9002-c896-403f-9420-6b419580cf8e",3,"2017-09-10T20:17:16.980Z","2017-09-10T20:17:23.353Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,7,5,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,0,3,8,93.6,83.9,3.3722,1.4537,6,2,0.4094,6.0018,34.3387,-15.9696,8.0867,8.863,0.2904,2.7647,-5.6713,-135.533,-4.9603,105.93,164.13,1.3778,50,5.7631,14.785,38.4,4.8,24,2237,135,66.7,-26,6,"ground_ball","medium","3",161.35,154.84,NA,"playLog","hitting",458015,492232
