"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_runner_going","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,4,0,4,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467827,287367
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467827,287367
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"2-4 | 2B, BB, RBI",1,1,1,1,1,0,0,0,1,0,2,0,4,0,0,5,3,1,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467827,287367
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"110506_193238","02873676-0146-0033-000c-f08cd117d70a",3,"2011-05-07T02:32:37.629Z","2011-05-07T02:33:02.000Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,NA,"X","In play, out(s)","SI","Sinker",2,0,1,3,89.3,81.6,3.04,1.38,2,2,30.393,-24.267,-10.15,4.57,-0.127,2.866,6.016,-130.83,-3.424,102.15,132.97,-1.15,50,6.033,-17.406,32.4,7.2,24,2119,245,"fly_ball","medium","8",101.41,45.18,NA,"playLog","hitting",467827,287367
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"110506_201903","02873676-0356-0043-000c-f08cd117d70a",4,"2011-05-07T03:19:02.675Z","2011-05-07T03:19:21.000Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,2,TRUE,FALSE,NA,"X","In play, out(s)","SL","Slider",2,1,2,5,84.6,78.8,3.38,1.52,4,2,23.438,-30.336,-1.12,1.13,-0.475,2.226,2.836,-124.044,-3.048,115.02,151.1,-1.485,50,5.985,-1.748,2.4,8.4,24,296,223,"ground_ball","medium","1",127.51,181.73,NA,"playLog","hitting",467827,287367
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"110506_211037","02873676-0536-0063-000c-f08cd117d70a",6,"2011-05-07T04:10:37.123Z","2011-05-07T04:10:45.000Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,0,3,FALSE,FALSE,TRUE,"B","Ball","FF","Four-Seam Fastball",4,2,2,7,92.6,84.7,3.2,1.47,13,0.9,32.253,-15.203,3.28,9.21,-1.41,1.867,-9.855,-135.28,-8.07,144.21,162.33,1.871,50,5.975,6.017,12,3.6,24,1931,160,NA,NA,NA,NA,NA,NA,"playLog","hitting",467827,287367
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"110506_215029","02873676-0696-0043-000c-f08cd117d70a",4,"2011-05-07T04:50:29.036Z","2011-05-07T04:51:01.000Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,1,3,FALSE,FALSE,NA,"E","In play, run(s)","FF","Four-Seam Fastball",2,1,0,9,93.7,85.3,3.38,1.54,5,2,34.141,-17.178,-3.91,7.94,0.131,2.64,5.775,-137.143,-6.571,97.85,143.33,-1.508,50,6.265,-7.343,18,4.8,24,1766,206,"fly_ball","medium","9",162.65,79.32,NA,"playLog","hitting",467827,287367
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"110506_223649","02873676-0876-0033-000c-f08cd117d70a",3,"2011-05-07T05:36:48.422Z","2011-05-07T05:37:04.000Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,3,3,FALSE,FALSE,NA,"D","In play, no out","SI","Sinker",2,0,1,11,91.6,84.3,3.38,1.54,1,2,29.876,-31.852,-7.29,0.14,-0.301,2.903,7.897,-134.073,-1.664,106.44,135.56,-2.342,50,5.812,-13.227,19.2,7.2,24,1431,268,"fly_ball","medium","8",150.6,85.34,NA,"playLog","hitting",467827,287367
