"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",6,0,1,7,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609275,631489
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609275,631489
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-5 | 2 K",1,0,1,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,4,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609275,631489
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"de3791bd-b7a5-4393-83a3-9fb99c4986cf",2,"2020-07-27T23:17:11.433Z","2020-07-27T23:17:21.566Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",0,1,2,1,93.8,86.5,3.43,1.6,6,2,0.4002,6.6219,27.7779,-16.7669,-2.3815,8.1083,0.7198,2.7231,7.1835,-136.4518,-5.9554,89.56,165.26,-1.6284,50.0062,6.0743,-4.5279,9.6,3.6,24,2115,202,74.3,65,178,"popup","medium","6",105.46,135.27,NA,"playLog","hitting",609275,631489
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"a1919435-a18f-44f4-b9b8-990de2c2ddfa",3,"2020-07-27T23:57:13.251Z","2020-07-27T23:57:21.649Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,3,5,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,0,2,3,92,85,3.43,1.6,9,2,0.408,6.7958,26.3368,-13.5403,-2.4871,10.1841,0.4499,1.9956,6.4319,-133.7733,-7.8682,99.85,184.9,-1.6525,50.0009,5.9267,-4.5506,12,3.6,24,2195,204,96.6,-2,35,"ground_ball","medium","3",156.55,165.13,NA,"playLog","hitting",609275,631489
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"d469b108-0c9c-4da3-b81d-5f05c60b81e4",6,"2020-07-28T00:27:52.758Z","2020-07-28T00:28:02.246Z",TRUE,"pitch","Foul Tip","T","rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,TRUE,FALSE,5,5,TRUE,FALSE,"T","Foul Tip","SL","Slider",2,3,2,4,85.8,80,3.43,1.6,9,2,0.4363,6.4206,22.6602,-34.8269,1.7241,-1.6603,0.6137,1.7008,5.196,-125.035,-2.687,93.61,192.86,-1.7063,50.002,5.6169,2.7577,6,8.4,24,2522,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",609275,631489
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"5f1ef042-a6e2-4f71-abd8-406875328a75",1,"2020-07-28T01:02:00.054Z","2020-07-28T01:02:06.960Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,12,5,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",0,0,2,5,83.6,76.6,3.43,1.6,7,2,0.4509,6.0777,24.3221,-21.0493,-7.2313,7.448,-0.6045,1.6936,4.6215,-121.5804,-5.0144,140.04,193.05,-1.5926,50.0034,5.6148,-10.8025,24,6,24,2117,238,94,25,360,"line_drive","medium","8",153.13,49.31,NA,"playLog","hitting",609275,631489
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"907f8420-d94c-4ca1-aea1-8a77c2b10a3b",7,"2020-07-28T01:44:53.862Z","2020-07-28T01:44:58.418Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 34, 255, 1.0)",FALSE,TRUE,FALSE,12,6,TRUE,FALSE,"S","Swinging Strike","CU","Curveball",2,3,3,7,81,74.6,3.43,1.6,11,2,0.4641,6.1799,22.0674,-36.0359,4.6536,-2.7342,-1.0356,2.8723,0.722,-117.9528,1.5691,156.47,161.23,-1.9502,50.0039,5.5168,6.5688,10.8,10.8,24,2588,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",609275,631489
