"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,1,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665926,631221
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665926,631221
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,1,"2-4 | R",1,0,2,1,0,0,0,0,0,0,2,0,4,0,0,4,2,0,0,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665926,631221
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,"-.--","R",1,1,".000",".000",".000",".000",7,".000","2.00",121,"New York Mets","/api/v1/teams/121",143,"Philadelphia Phillies","/api/v1/teams/143",519443,"Brandon Workman","/api/v1/people/519443","Brandon","Workman",665926,"Andres Gimenez","/api/v1/people/665926","Andres","Gimenez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",665926,631221
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"d9c0c9f4-4db9-4b19-a454-a5909a5d9e42",4,"2020-09-05T00:09:21.841Z","2020-09-05T00:09:31.415Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,2,0,FALSE,FALSE,"D","In play, no out","SI","Sinker",2,1,0,3,92,84.2,3.319,1.513,11,2,0.4097,5.7032,29.2574,-24.3561,-10.9244,4.3182,-1.0884,2.5126,7.4606,-133.7789,-4.5538,158.49,170.94,-2.4962,50.0004,5.9858,-19.7691,36,7.2,24,2062,226,81.2,16,193,"line_drive","medium","9",159.95,127.45,NA,"playLog","hitting",665926,631221
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"59967b5c-23ae-449e-b9fc-ee5b7c4c6034",3,"2020-09-05T00:50:50.897Z","2020-09-05T00:51:03.638Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,2,0,FALSE,FALSE,"D","In play, no out","SI","Sinker",1,1,1,5,90.7,84.1,3.319,1.513,8,2,0.4137,6.0644,24.7616,-25.3903,-10.2486,3.8109,-0.2456,1.7424,9.464,-131.7772,-5.7819,126.36,191.74,-2.5308,50.0039,5.8103,-18.2486,32.4,7.2,24,2031,229,105.7,-14,8,"ground_ball","hard","8",139.34,124.5,NA,"playLog","hitting",665926,631221
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"a7ab57be-6df8-4ca1-a33d-1f32a219aede",2,"2020-09-05T01:27:24.406Z","2020-09-05T01:27:33.812Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 34, 255, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,"X","In play, out(s)","CU","Curveball",0,1,3,7,81.3,74.6,3.319,1.513,8,2,0.465,5.9071,24.7412,-39.9085,5.2333,-5.5144,-0.1318,1.794,4.2954,-118.2517,-1.2192,122.02,190.34,-2.6586,50.0045,6.0116,7.3352,10.8,12,24,2572,51,93.9,-29,4,"ground_ball","medium","6",132.14,140.2,NA,"playLog","hitting",665926,631221
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"c8d6717c-35f5-4dad-8bc7-b9470588e82b",4,"2020-09-05T02:21:33.453Z","2020-09-05T02:21:45.532Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,5,3,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,2,3,9,92.6,84.8,3.319,1.513,2,2,0.4064,7.3601,29.1729,-14.0631,-1.4484,9.8465,-0.0662,3.2017,4.332,-134.7414,-5.7395,119.53,152.33,-1.5064,50.0038,6.3526,-2.6648,6,3.6,24,2191,189,93,-18,10,"ground_ball","medium","4",150.5,138.45,NA,"playLog","hitting",665926,631221
