"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,3,0,3,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542340,490492
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542340,490492
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-4 | K",1,1,2,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,1,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542340,490492
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"a6ac9bbf-72b3-4f19-912f-a49904cbeea5",1,"2017-05-03T00:15:41.110Z","2017-05-03T00:15:50.553Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",0,0,1,1,95.2,86.9,3.5077,1.7972,5,2,0.405,5.2104,30.2887,-19.2426,-8.5883,6.6983,-0.2458,2.3616,5.655,-137.9783,-4.6982,134.06,175.99,-1.2046,50,5.3804,-16.5801,37.2,4.8,24,2158,235,97,-22,7,"ground_ball","medium","4",126.2,201.84,NA,"playLog","hitting",542340,490492
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"50e4a972-e0cd-489b-a316-1dc5c379bde2",4,"2017-05-03T00:59:00.573Z","2017-05-03T00:59:14.587Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,2,1,4,97,89.2,3.789,1.5683,5,2,0.3952,5.2856,29.0395,-17.7167,-6.0506,7.1331,0.0538,2.9336,4.7793,-140.7903,-3.7138,122.58,162.76,-0.8714,50,5.4017,-12.2633,31.2,4.8,24,2142,221,90.1,42,304,"fly_ball","medium","7",54.26,92.52,NA,"playLog","hitting",542340,490492
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ff6ba2c6-43f8-4702-b4ea-f3c14fee6f17",2,"2017-05-03T01:37:49.333Z","2017-05-03T01:38:02.213Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,0,2,6,95.7,88,3.749,1.5383,9,2,0.4012,5.2761,28.6218,-18.5947,-6.4135,6.9054,0.4206,1.9179,6.2671,-138.776,-5.8678,106.4,189.53,-1.0246,50,5.2822,-12.6119,30,4.8,24,2052,225,NA,NA,NA,"ground_ball","medium","4",150.76,148.86,NA,"playLog","hitting",542340,490492
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"3e5b33a6-538c-4df8-a41f-7a9f5776ae43",7,"2017-05-03T02:31:38.993Z","2017-05-03T02:31:43.731Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,TRUE,FALSE,1,2,TRUE,FALSE,"S","Swinging Strike","SL","Slider",3,3,1,8,86.1,78.6,3.789,1.5683,7,2,0.4504,4.9385,26.1657,-27.7691,6.6248,2.7996,-0.6184,1.5495,-1.0334,-124.9191,-3.4037,147.81,200.44,-1.0586,50,5.223,10.4235,19.2,7.2,24,2225,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",542340,490492
