"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,2,0,2,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150029,490747
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150029,490747
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | RBI",1,0,3,0,0,0,0,0,0,0,1,0,4,0,0,4,1,1,1,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150029,490747
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"0ccbecbe-0c72-4afd-8489-4157dd589836",6,"2017-05-20T20:15:40.036Z","2017-05-20T20:15:49.679Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","SL","Slider",2,2,1,1,79.6,75,3.7002,1.917,14,2,0.4814,4.8329,15.8341,-30.3586,-0.1163,1.3014,1.5097,1.871,6.7244,-115.7372,-1.2035,59.45,188.26,-1.3839,50,5.232,-0.1622,1.2,8.4,24,2392,138,56.2,-26,7,"ground_ball","soft","3",143.08,181.28,NA,"playLog","hitting",150029,490747
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"a471186f-fd3f-4127-a5ff-aca73c05cf7f",4,"2017-05-20T21:18:48.354Z","2017-05-20T21:18:55.762Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,2,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",1,2,1,4,88.6,81.3,3.8173,1.9505,9,2,0.4363,4.9392,24.7788,-27.7926,-11.5013,2.6044,0.5084,2.4279,8.4959,-128.4272,-1.1325,97.62,173.23,-1.3365,50,5.0218,-19.349,32.4,8.4,24,2092,260,92.8,-2,36,"ground_ball","medium","4",127.55,188.95,NA,"playLog","hitting",150029,490747
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"61edd4f6-6178-48bb-8414-b21456be47a3",5,"2017-05-20T22:01:50.267Z","2017-05-20T22:02:02.379Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,2,3,FALSE,FALSE,"E","In play, run(s)","SI","Sinker",2,2,1,5,88,81.1,3.802,1.9614,6,2,0.422,6.9681,24.1408,-29.0641,-12.1172,1.86,0.7525,2.8637,9.1126,-127.9173,0.3513,88.32,161.46,-1.2659,50,4.9866,-20.2595,32.4,8.4,24,2143,263,100.2,-6,23,"ground_ball","medium","9",176.57,121.28,NA,"playLog","hitting",150029,490747
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"8376b55d-7a31-4c33-931e-80277a5bdee0",5,"2017-05-21T00:38:08.169Z","2017-05-21T00:38:16.577Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,2,4,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",2,2,3,7,88.4,81,3.742,1.8165,7,2,0.4292,5.9934,25.8248,-26.2716,-10.5915,3.5289,-0.7339,2.2832,7.4109,-128.3322,-2.4845,144.97,177.13,-2.2788,50,5.304,-17.7152,31.2,7.2,24,2338,255,60.9,-38,6,"ground_ball","soft","6",125.43,201.95,NA,"playLog","hitting",150029,490747
