"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",3,0,0,3,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621043,415899
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621043,415899
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | 2B, BB, K",1,1,1,0,1,0,0,1,1,0,1,0,4,0,0,5,2,0,3,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621043,415899
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"150922_192639","27505bd5-d367-4541-9f2c-5a3acd868ded",3,"2015-09-23T00:27:26.924Z","2015-09-23T00:27:26.939Z",TRUE,"pitch","Called Strike","C","rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,TRUE,FALSE,3,0,TRUE,FALSE,"C","Called Strike","SI","Sinker",0,3,3,1,92.1,83.5,3.73,1.71,4,2,33.332,-12.73,9.82,10.74,-0.625,2.364,-11.576,-134.49,-5.634,140.82,174.95,2.49,50,5.414,17.713,46.8,4.8,24,2837,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",621043,415899
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150922_200542","5185789e-29f1-41e3-a792-46da4c9e89ff",5,"2015-09-23T01:06:32.229Z","2015-09-23T01:06:33.699Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,3,2,FALSE,FALSE,"B","Ball","SI","Sinker",4,1,1,3,90,81.7,3.55,1.71,11,2,31.047,-18.845,11.64,7.68,-0.926,2.838,-12.901,-131.35,-3.123,152.3,162.15,2.566,50,5.465,20.087,40.8,6,24,2662,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",621043,415899
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"150922_203649","06192d9a-bd67-4844-b792-33e09b297e0d",2,"2015-09-23T01:37:45.944Z","2015-09-23T01:37:54.325Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",1,0,1,5,90.2,82.2,3.68,1.71,5,2,30.454,-12.48,10.41,11.25,-0.258,2.463,-10.303,-131.827,-5.613,126.83,172.28,2.366,50,5.557,18.15,49.2,4.8,24,2947,137,93.5,50,289,"fly_ball","medium","9",149.61,85.4,NA,"playLog","hitting",621043,415899
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150922_212828","f73e0333-9611-4b7a-8d4a-747d6a793df6",3,"2015-09-23T02:29:20.056Z","2015-09-23T02:29:44.147Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 34, 255, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,"X","In play, out(s)","CU","Curveball",0,2,3,7,80.1,74.2,3.68,1.71,14,2,24.449,-43.746,8.88,-8.44,0.435,1.317,3.693,-117.39,0.398,100.42,203.22,-2.317,50,5.254,12.253,16.8,13.2,24,2082,46,96.4,-18,6,"ground_ball","medium","6",109.03,155.06,NA,"playLog","hitting",621043,415899
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150922_222653","abdb15e0-e9b1-40a5-8f2d-8769947c46c3",5,"2015-09-23T03:27:53.052Z","2015-09-23T03:28:07.419Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,4,3,FALSE,FALSE,"D","In play, no out","SL","Slider",2,2,2,9,85.7,79.3,3.68,1.71,9,2,25.143,-28.116,0.04,2.49,0.356,2.3,4.728,-125.549,-1.833,103.43,176.68,-1.556,50,5.325,0.069,2.4,7.2,24,468,179,110.6,19,433,"fly_ball","hard","8",113.27,26.05,NA,"playLog","hitting",621043,415899
