"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,1,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541645,491052
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541645,491052
"3","gameLog","hitting",NA,0,1,"1.000",NA,NA,NA,NA,NA,NA,0,"2-5 | 2B, K, 4 RBI",1,1,1,1,1,0,0,1,0,0,2,0,5,0,0,5,3,4,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541645,491052
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"f4fab7f2-0d62-4fc5-ae2b-ec5491fe10d0",1,"2017-06-13T00:25:27.657Z","2017-06-13T00:25:36.166Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",0,0,3,1,84,78.5,3.4345,1.5457,9,2,0.4475,6.0579,19.6029,-21.8759,3.6603,6.6846,0.3106,1.7721,-5.0849,-122.144,-5.7484,106.21,189.8,1.9252,50,5.9872,5.639,12,6,24,1957,150,"ground_ball","medium","5",NA,NA,NA,100.54,169.3,NA,"playLog","hitting",541645,491052
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"58a7641a-09c3-4d38-a8d7-cc856fcbbc62",1,"2017-06-13T01:17:05.585Z","2017-06-13T01:17:20.367Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,0,5,FALSE,FALSE,"E","In play, run(s)","CH","Changeup",0,0,0,3,83.8,77,3.4345,1.5458,5,2,0.4526,5.9832,22.7842,-17.7127,4.7707,9.6095,0.2563,2.1961,-5.5326,-121.6184,-5.1434,108.51,179.06,1.9357,50,5.8641,7.1795,18,4.8,24,1780,153,"line_drive","hard","8",110.2,18,401,151,30.84,NA,"playLog","hitting",541645,491052
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"a6c8b145-6a17-431d-b750-7fa7e0abfc99",4,"2017-06-13T01:56:55.406Z","2017-06-13T01:57:07.551Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,2,8,FALSE,FALSE,"E","In play, run(s)","FF","Four-Seam Fastball",1,2,1,4,93.9,86.3,3.4345,1.5458,8,0.87,0.4024,6.162,28.1401,-9.0487,-5.4777,12.2232,0.0745,1.5681,2.2449,-136.2526,-10.112,117.52,196.21,-0.0455,50,5.9392,-10.3634,42,3.6,24,2281,206,"ground_ball","medium","8",NA,NA,NA,129.63,99,NA,"playLog","hitting",541645,491052
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"83cf36fd-fa6c-40ec-8637-f2357eb78433",4,"2017-06-13T02:31:39.288Z","2017-06-13T02:32:00.609Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,2,9,TRUE,FALSE,"X","In play, out(s)","SL","Slider",2,1,3,6,84.6,78.2,3.4345,1.5458,1,0.9,0.4492,5.6732,22.3161,-28.4018,0.0834,2.4388,-0.482,2.9397,0.4349,-123.0312,-2.3221,135.23,159.78,-0.6713,50,6.2809,0.129,0,7.2,24,NA,174,"fly_ball","medium","8",83.4,35,317,108.85,66.73,NA,"playLog","hitting",541645,491052
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"c78f1de6-5223-4da6-86b6-59c5a5f97cce",8,"2017-06-13T03:27:00.839Z","2017-06-13T03:27:11.250Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,6,10,TRUE,FALSE,"S","Swinging Strike","FF","Four-Seam Fastball",3,3,3,8,96.1,89.2,3.4346,1.5459,12,2,0.3931,5.9121,25.5456,-14.2092,-6.4476,8.9493,0.8535,3.0984,11.0956,-139.4289,-4.8588,83.91,153.19,-2.3043,50,5.7717,-12.9431,36,3.6,24,2416,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",541645,491052
