"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",2,9,0,11,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475100,415090
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475100,415090
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | R",1,2,0,1,0,0,0,0,0,0,1,0,4,0,0,4,1,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475100,415090
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"150724_191806","7f5ec01e-1952-4536-9eb8-5653964c7716",1,"2015-07-24T23:16:15.512Z","2015-07-24T23:16:22.313Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,1,0,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",0,0,2,1,83.7,76.8,3.79,1.71,5,2,25.65,-25.84,7.95,4.14,0.23,2.37,-5.87,-122.57,-1.65,108.12,174.93,1.63,50,5.27,12.03,22.8,7.2,24,1609,117,"fly_ball","medium","8",NA,NA,NA,NA,"playLog","hitting",475100,415090
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"150724_195046","0d611cbd-6c41-4dfd-9710-ff1f6dc62b14",4,"2015-07-24T23:49:01.336Z","2015-07-24T23:49:08.362Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,4,0,FALSE,FALSE,"D","In play, no out","SI","Sinker",1,2,0,3,92.3,85.1,3.79,1.71,8,2,29.07,-25.33,10.48,3.66,0.13,2.25,-7.59,-135.1,-2.96,111.97,177.92,1.61,50,5.14,19.39,34.8,7.2,24,2208,109,"ground_ball","medium","9",100.3,3,100,NA,"playLog","hitting",475100,415090
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"150724_201319","bb3a1c2f-3f83-458e-97f3-68ff3b96cb07",6,"2015-07-25T00:11:26.122Z","2015-07-25T00:11:30.723Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(152, 0, 101, 1.0)",TRUE,FALSE,FALSE,6,0,TRUE,FALSE,"X","In play, out(s)","FC","Cutter",3,2,3,4,90.7,84.6,3.79,1.71,4,2,25.05,-27.03,1.23,2.79,-0.45,3.03,5.08,-132.94,-0.7,134.11,157.08,-2.54,50,5.23,2.24,7.2,6,24,612,156,"popup","medium","4",65.7,58,135,NA,"playLog","hitting",475100,415090
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"150724_211017","5ef3bcf8-bb41-487d-aa92-c846891af811",3,"2015-07-25T01:08:19.369Z","2015-07-25T01:08:23.531Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,6,2,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,0,2,7,94.7,87.3,3.79,1.71,5,2,30.34,-18.96,-5.37,6.74,0.1,2.45,7.6,-138.62,-3.67,113.19,172.77,-1.98,50,5.05,-10.47,24,4.8,24,1764,218,"fly_ball","medium","8",96.5,45,301,NA,"playLog","hitting",475100,415090
