"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",1,0,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461858,414606
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461858,414606
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | 2B, K, R",1,0,2,1,1,0,0,1,0,0,1,0,4,1,0,4,2,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461858,414606
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150615_194924","d99a0337-f84d-40fc-94ff-ec3c8699ea82",5,"2015-06-16T00:49:15.840Z","2015-06-16T00:49:15.864Z",TRUE,"pitch","Called Strike","C","rgba(170, 21, 11, 1.0)","rgba(152, 0, 101, 1.0)",FALSE,TRUE,FALSE,0,0,TRUE,FALSE,"C","Called Strike","FC","Cutter",2,3,1,2,83.4,77.4,3.31,1.5,8,2,24.347,-29.827,1.36,1.51,0.13,1.761,4.554,-122.133,-4.854,112.04,191.23,-1.936,50,6.343,2.047,4.8,8.4,24,369,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",461858,414606
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"150615_202636","7d8b0002-fcf3-4fa1-9f6b-4d907eae6271",2,"2015-06-16T01:26:34.469Z","2015-06-16T01:26:58.253Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 34, 255, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","CU","Curveball",1,0,3,4,80.8,74.9,3.28,1.49,4,2,23.85,-35.817,1.43,-2.63,-0.789,2.065,1.742,-118.515,-2.536,147.07,183.03,-1.72,50,6.438,2.017,3.6,10.8,24,509,28,93.4,-14,11,"ground_ball","medium","5",102.42,170.9,NA,"playLog","hitting",461858,414606
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"150615_212656","fb26087e-f59b-427d-8881-68ccfbb278b4",3,"2015-06-16T02:27:01.658Z","2015-06-16T02:27:11.848Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,3,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",0,2,1,7,91.4,83.8,3.28,1.49,5,2,30.37,-17.802,-5.82,7.93,-0.042,2.546,6.73,-133.786,-5.878,118.6,170.04,-1.84,50,6.058,-10.496,25.2,4.8,24,1929,216,101.2,27,379,"line_drive","medium","8",157.57,35.76,NA,"playLog","hitting",461858,414606
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"150615_220319","e9491a55-5ace-46e9-9404-96a5cb5e7b47",4,"2015-06-16T03:03:12.411Z","2015-06-16T03:03:20.479Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,2,3,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",2,1,2,9,86.6,79.4,3.28,1.49,8,2,27.251,-19.837,10.5,7.61,-0.119,1.875,-9.014,-126.503,-6.196,121.54,188.16,2.137,50,5.961,16.906,36,6,24,2400,126,54.9,-52,5,"ground_ball","soft","1",134.54,183.02,NA,"playLog","hitting",461858,414606
