"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",1,5,0,6,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593871,661426
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593871,661426
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-3 | HR, 2 BB, K",1,0,0,2,0,0,1,1,2,0,1,0,3,0,0,5,4,2,1,0,0,0,"3.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593871,661426
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1c44f862-b167-43e9-ae14-54fe2067383f",5,"2022-07-06T00:22:03.332Z","2022-07-06T00:22:09.409Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,0,0,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,1,2,1,94.6,86.7,3.4001,1.6358,14,0.89,0.3989,6.7809,29.4123,-10.6618,-5.4556,11.2602,1.3834,1.3662,10.7215,-137.1355,-9.4386,64.27,201.89,-1.8625,50.006,5.5735,-10.4266,32.4,3.6,24,2574,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",593871,661426
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"3c11e334-32ce-4927-b06c-22cf3ef4ee8c",3,"2022-07-06T00:57:14.797Z","2022-07-06T00:57:20.319Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,1,0,TRUE,FALSE,"S","Swinging Strike","FF","Four-Seam Fastball",0,3,3,3,94.9,87.3,3.4,1.6,11,0.88,0.3954,6.6117,28.5438,-14.142,-7.3237,9.2619,-0.8476,3.4606,6.6606,-138.1247,-3.3948,149.31,145.34,-2.3297,50.0051,5.6466,-14.2626,40.8,3.6,24,2552,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",593871,661426
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4821d2dc-3713-4083-a25e-78add65386be",1,"2022-07-06T01:37:29.230Z","2022-07-06T01:37:57.103Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,5,1,FALSE,FALSE,"E","In play, run(s)","FF","Four-Seam Fastball",0,0,1,5,93.6,85.7,3.4,1.6,1,0.87,0.4019,6.5835,29.0568,-13.279,-6.2303,10.0353,-0.4683,3.0932,7.0259,-136.1404,-4.2967,134.85,155.26,-2.2693,50.0024,5.6068,-11.7303,36,3.6,24,2546,207,104.7,35,391,"fly_ball","medium","9",217.39,60.57,NA,"playLog","hitting",593871,661426
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"51f8b8e6-f3db-416a-aed4-49920602860e",6,"2022-07-06T02:22:24.685Z","2022-07-06T02:22:29.716Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,FALSE,TRUE,6,2,FALSE,FALSE,"B","Ball","SL","Slider",4,2,1,7,84.9,79.1,3.3138,1.7114,14,0.93,0.4406,6.4155,21.7165,-27.382,3.6767,3.0502,1.2169,2.0499,4.457,-123.7136,-3.2017,70.61,183.43,-1.077,50.0011,5.6249,5.7707,13.2,7.2,24,2387,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",593871,661426
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"f0ab0e0f-6868-4033-bfd6-278f16b385af",1,"2022-07-06T03:36:19.176Z","2022-07-06T03:36:28.212Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(186, 1, 0, 1.0)",TRUE,FALSE,FALSE,8,2,TRUE,FALSE,"X","In play, out(s)","FA","Fastball",0,0,1,9,53.4,49.6,3.4,1.6,9,2,0.7071,3.4069,9.9121,-26.1259,-4.5297,9.9587,0.4142,2.0657,4.1941,-77.5356,1.8276,101.21,183.01,-1.7403,50.0031,6.4566,-2.7516,4.8,16.8,24,1388,216,66,62,157,"popup","medium","3",178.02,175.05,NA,"playLog","hitting",593871,661426
