"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","note","summary","games_played","fly_outs","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","number_of_pitches","innings_pitched","wins","losses","saves","save_opportunities","holds","blown_saves","earned_runs","batters_faced","outs","games_pitched","complete_games","shutouts","pitches_thrown","balls","strikes","strike_percentage","hit_batsmen","balks","wild_pitches","rbi","games_finished","runs_scored_per9","home_runs_per9","inherited_runners","inherited_runners_scored","catchers_interference","sac_bunts","sac_flies","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","left_on_base","at_bats_per_home_run","game_type","num_teams","avg","obp","slg","ops","outs_pitched","whip","ground_outs_to_airouts","pitches_per_inning","strikeout_walk_ratio","strikeouts_per9inn","walks_per9inn","hits_per9inn","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",1,0,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461829,531679
"2","gameLog","pitching",1,0,1,"1.000",NA,NA,NA,NA,NA,0,0,"(W, 9-11)","6.0 IP, 0 ER, 5 K, 2 BB",1,3,6,7,0,0,0,0,5,2,0,2,0,20,90,"6.0",1,0,0,0,0,0,0,22,18,1,0,0,90,36,54,".600",0,0,0,0,0,"0.00","0.00",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461829,531679
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,NA,"0-1 | BB, R",1,0,0,NA,1,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461829,531679
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,1,NA,1,0,0,1,1,0,2,0,4,18,"0.2",NA,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,7,11,".610",0,0,0,0,NA,NA,"0.00",NA,NA,0,0,0,0,NA,NA,3,NA,NA,"R",2,".500",".600",".750","1.350",2,"4.50","0.00","27.00","1.00","13.50","13.50","27.00",158,"Milwaukee Brewers","/api/v1/teams/158",113,"Cincinnati Reds","/api/v1/teams/113",461829,"Gio Gonzalez","/api/v1/people/461829","Gio","Gonzalez",571697,"Scooter Gennett","/api/v1/people/571697","Scooter","Gennett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","pitching",461829,531679
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"a40066a2-6556-4cb6-8fd8-8e9310d9b85f",5,"2018-09-20T00:29:55.780Z","2018-09-20T00:30:02.486Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,0,1,FALSE,FALSE,"B","Ball","SI","Sinker",4,1,0,3,91.2,83.5,3.362,1.449,12,2,0.4182,5.6337,27.594,-16.1976,-8.2428,8.9535,0.2212,3.5697,6,-132.5613,-3.6591,108.57,142.42,-0.9975,50,6.1459,-14.7082,38.4,4.8,24,2092,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",461829,531679
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"68ffdc65-48ba-4419-b6e9-544f3cb570bb",1,"2018-09-20T00:57:53.289Z","2018-09-20T00:58:02.031Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,4,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",0,0,3,4,94.5,86.9,3.371,1.535,1,2,0.4004,5.9833,28.9931,-24.0317,-8.8045,4.2336,-0.6491,2.8704,4.4296,-137.4602,-4.177,141.74,161.31,-1.1332,50,6.0308,-16.9333,32.4,6,24,2087,244,66.4,54,170,"popup","medium","4",146.73,133.2,NA,"playLog","hitting",461829,531679
