"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,3,0,3,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571788,565058
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571788,565058
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-4 | 2 K",1,1,1,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571788,565058
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,0,0,1,0,0,1,0,2,0,0,2,1,0,0,0,0,0,"-.--","R",2,0,".500",".500",".500","1.000",13,"1.000","-.--",120,"Washington Nationals","/api/v1/teams/120",144,"Atlanta Braves","/api/v1/teams/144",455119,"Chris Martin","/api/v1/people/455119","Chris","Martin",571788,"Brock Holt","/api/v1/people/571788","Brock","Holt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",571788,565058
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"8c147936-013a-4799-a8db-a02ad651837a",5,"2019-06-11T23:45:07.425Z","2019-06-11T23:45:13.131Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,1,1,TRUE,FALSE,"S","Swinging Strike","FF","Four-Seam Fastball",2,3,1,2,93.4,85.2,3.23,1.54,11,2,0.4069,5.8968,30.1479,-14.0195,-4.1929,9.7301,-0.6547,3.7774,2.0944,-135.838,-3.9441,141.92,136.7,-0.8916,50,6.2248,-7.8231,26.4,3.6,24,2030,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",571788,565058
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"5e177fd0-ff34-4104-99b4-296ed1329d50",3,"2019-06-12T00:42:10.679Z","2019-06-12T00:42:19.254Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,4,3,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",1,1,1,4,90.6,83.1,3.23,1.54,13,2,0.4184,6.0826,28.6088,-23.6407,-9.9928,4.8693,-0.1212,1.3602,4.8353,-131.7151,-7.2566,121.66,202.16,-0.6851,50,5.9052,-17.5124,33.6,7.2,24,1944,246,81,-15,7,"ground_ball","medium","3",159.6,167.46,NA,"playLog","hitting",571788,565058
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"5820ea95-f18a-43f6-b897-72fb9e85844a",4,"2019-06-12T01:31:51.924Z","2019-06-12T01:32:04.403Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,9,3,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",2,1,1,6,92.1,84.2,3.23,1.54,5,2,0.4131,5.9188,29.1986,-21.5298,-11.7598,5.887,0.1385,2.0655,6.6816,-133.7164,-6.0466,111.72,183,-0.8667,50,5.9036,-21.2628,40.8,7.2,24,1799,244,96,38,335,"fly_ball","medium","8",139.57,58.67,NA,"playLog","hitting",571788,565058
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"3170991f-27fd-4d7e-abdc-c5fc67fdce7b",3,"2019-06-12T02:20:55.431Z","2019-06-12T02:21:00.503Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,TRUE,FALSE,9,4,TRUE,FALSE,"S","Swinging Strike","SL","Slider",0,3,1,8,89.2,83.2,3.23,1.54,13,2,0.4208,6.2571,24.752,-34.2681,1.1545,-1.2132,-0.5668,1.0116,1.5541,-129.931,-7.0441,138.61,211.5,-1.3204,50,6.3298,1.9927,3.6,8.4,24,2419,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",571788,565058
