"","type","group","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_runner_going","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",0,0,".---",0,0,0,0,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434778,414675
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434778,414675
"3","gameLog","hitting",0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | HR, 2 RBI, R",1,2,1,1,0,0,1,0,0,0,1,0,4,0,0,4,4,2,0,0,0,0,"4.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434778,414675
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"150620_183149","66cf1f6c-df9f-46cd-aaf8-cc45e2e3b4e8",2,"2015-06-20T23:29:41.707Z","2015-06-20T23:30:08.251Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,1,0,TRUE,FALSE,TRUE,"B","Ball","SI","Sinker",1,1,3,1,93.7,86.3,3.55,1.77,14,2,30.21,-21.689,-11.03,5.48,0.865,2.355,8.93,-136.982,-5.988,84.03,175.2,-1.003,50,6.052,-20.966,39.6,6,24,2482,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",434778,414675
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"150620_184509","387ac6e8-33e8-426f-bd88-fecd639892e9",4,"2015-06-20T23:42:53.191Z","2015-06-20T23:43:00.077Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,1,0,TRUE,FALSE,NA,"X","In play, out(s)","CH","Changeup",2,1,1,2,83,76,3.47,1.63,11,2,26.438,-23.852,-9,5.56,-1.09,2.857,3.164,-121.732,-2.777,158.55,161.64,-1.247,50,6.103,-13.351,27.6,7.2,24,1874,238,85.4,-28,6,"ground_ball","medium","4",147.88,160.08,NA,"playLog","hitting",434778,414675
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"150620_192728","3e4c7956-9569-4951-a4fa-24fceabe4b2f",4,"2015-06-21T00:25:15.110Z","2015-06-21T00:25:21.778Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,2,1,TRUE,FALSE,NA,"X","In play, out(s)","SI","Sinker",1,2,1,4,92.2,83.9,3.47,1.63,12,2,32.965,-21.888,-10.09,5.61,0.297,3.681,7.307,-135.01,-2.477,105.68,139.39,-1.152,50,6.173,-18.382,36,6,24,2263,240,97.1,45,330,"fly_ball","medium","8",149.41,77.75,NA,"playLog","hitting",434778,414675
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"150620_200256","11117b0d-df60-4d76-b7d1-061f6d23889b",2,"2015-06-21T01:00:45.946Z","2015-06-21T01:00:59.268Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,6,FALSE,FALSE,NA,"E","In play, run(s)","FF","Four-Seam Fastball",1,0,2,5,92.8,83.9,3.47,1.63,3,2,34.737,-9.768,-5.85,12.18,0.726,3.184,6.819,-135.791,-5.653,89.33,152.81,-1.079,50,5.999,-10.731,38.4,3.6,24,2654,205,96.6,33,394,"fly_ball","medium","9",238.85,68.61,NA,"playLog","hitting",434778,414675
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"150620_205340","8df052a7-3702-4582-9c9a-332a13ffd4a9",1,"2015-06-21T01:51:28.353Z","2015-06-21T01:51:34.605Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,7,TRUE,FALSE,NA,"X","In play, out(s)","FF","Four-Seam Fastball",0,0,1,7,90.4,83.7,3.47,1.63,6,2,26.549,-20.426,7.7,6.54,0.298,2.354,-6.24,-132.317,-4.645,105.64,175.22,1.68,50,5.616,13.729,30,6,24,1981,130,92.5,21,338,"fly_ball","medium","8",113.84,76.23,NA,"playLog","hitting",434778,414675
