"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,0,0,0,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576397,531740
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576397,531740
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-2 | BB, R",1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,3,1,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576397,531740
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,"-.--","R",1,1,".500",".500",".500","1.000",7,".500","0.00",158,"Milwaukee Brewers","/api/v1/teams/158",138,"St. Louis Cardinals","/api/v1/teams/138",606149,"Giovanny Gallegos","/api/v1/people/606149","Giovanny","Gallegos",576397,"Jedd Gyorko","/api/v1/people/576397","Jedd","Gyorko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",576397,531740
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"9c72f111-dd73-495f-8848-c5268f58428d",4,"2018-09-23T18:33:58.065Z","2018-09-23T18:34:11.545Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,0,FALSE,FALSE,"D","In play, no out","SL","Slider",2,1,1,2,88.5,82.2,2.9776,1.3168,4,2,0.4339,5.0451,23.2754,-23.8118,-1.7692,4.9273,-0.5207,2.4266,-4.0982,-128.5915,-5.8834,115.78,154.09,1.3149,50,6.5578,-3.0025,8.4,6,24,2266,206,85.6,17,199,"line_drive","medium","7",83.07,127.25,NA,"playLog","hitting",576397,531740
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0affdd1a-acbb-4354-ac3c-b36c68334af5",6,"2018-09-23T19:03:46.051Z","2018-09-23T19:03:55.527Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,2,3,3,93,85.9,3.0063,1.3454,12,2,0.4123,5.1155,26.4309,-17.2915,3.7607,7.9422,0.7021,3.4298,-3.2731,-135.2824,-5.1361,90.24,146.18,1.4325,50,6.5449,7.0471,19.2,3.6,24,1841,155,96.9,0,51,"ground_ball","medium","4",125.9,141.55,NA,"playLog","hitting",576397,531740
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"ec4a9e86-04c9-464a-a1df-a3c1399c0ecf",6,"2018-09-23T19:45:50.006Z","2018-09-23T19:46:00.750Z",TRUE,"pitch","Ball In Dirt","*B","rgba(39, 161, 39, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,FALSE,TRUE,0,2,FALSE,FALSE,"*B","Ball In Dirt","SL","Slider",4,2,0,6,85.9,79.8,2.9478,1.1701,14,2,0.4408,6.062,23.6561,-26.4984,4.8431,3.5848,2.5314,0.5067,9.1978,-124.6691,-6.9121,20.51,225.1,-1.8261,50,5.4843,7.6679,18,7.2,24,2833,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",576397,531740
