"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,2,0,2,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665750,630904
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665750,630904
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-5 | 2B, K, R",1,2,1,1,1,0,0,1,0,0,1,0,5,0,0,5,2,0,4,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665750,630904
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"03613ad7-fd50-46b2-99e4-35b328f6f918",8,"2020-09-09T00:23:29.685Z","2020-09-09T00:23:36.868Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 34, 255, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","CU","Curveball",2,2,1,1,78,72.1,3.45,1.69,5,0.9,0.4821,5.3541,20.5057,-36.5258,-3.0441,-3.325,0.0981,2.3947,-5.2973,-113.5451,0.9366,113.26,174.12,2.8555,50.004,5.6071,-3.9808,7.2,10.8,24,2602,324,97,30,379,"fly_ball","medium","8",125.44,38.62,NA,"playLog","hitting",665750,630904
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"32c1acc6-9cf2-4358-870f-d6f21022c898",5,"2020-09-09T01:00:10.220Z","2020-09-09T01:00:15.708Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",2,2,2,3,84.1,76.8,3.45,1.69,14,0.91,0.4485,6.7344,24.7446,-25.7891,10.4134,4.2337,1.5188,2.5618,-6.7572,-122.2625,-0.8904,59.11,169.61,2.9693,50.0054,5.1496,15.7227,28.8,8.4,24,2116,118,71.4,-3,29,"ground_ball","medium","4",132.58,169.47,NA,"playLog","hitting",665750,630904
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"421b87fd-facf-48f1-82c3-0f7ac9bae0c7",4,"2020-09-09T01:38:07.262Z","2020-09-09T01:38:18.787Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,1,3,FALSE,FALSE,"D","In play, no out","CH","Changeup",1,2,0,5,83.7,76.7,3.45,1.69,14,0.9,0.4509,6.2833,24.1627,-24.5941,10.7785,5.0765,0.0577,1.405,-9.5906,-121.5448,-4.1612,114.8,200.85,2.6572,50.0051,5.2788,16.1046,30,8.4,24,2079,124,73,20,202,"line_drive","medium","7",75.46,135.77,NA,"playLog","hitting",665750,630904
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"766f7a7b-f657-4e87-a0c5-aa34c53d2643",1,"2020-09-09T02:06:47.446Z","2020-09-09T02:06:59.201Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,1,6,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",0,0,3,6,89.4,82.6,3.45,1.69,7,2,0.4192,6.0071,25.2353,-22.067,-8.0551,5.8367,-0.3113,1.861,3.6277,-130.235,-4.0593,128.87,188.53,-0.6694,50.005,5.0922,-13.9528,30,6,24,1658,215,83.7,31,313,"fly_ball","medium","8",105.57,69.14,NA,"playLog","hitting",665750,630904
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"268634cb-3ef1-42f4-b818-1d5ad062696d",5,"2020-09-09T02:52:53.879Z","2020-09-09T02:52:58.921Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(152, 0, 101, 1.0)",FALSE,TRUE,FALSE,1,7,TRUE,FALSE,"S","Swinging Strike","FC","Cutter",2,3,3,8,89.2,81.4,3.45,1.69,13,2,0.4233,6.6512,29.226,-25.2013,0.5205,4.1231,-0.7415,1.3905,3.764,-129.7965,-5.6452,145.26,201.24,-2.283,50.0052,5.5332,0.8811,3.6,6,24,2356,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",665750,630904
