"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,0,0,0,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647304,566214
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647304,566214
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-1 | 3 BB",1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647304,566214
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"47917a20-b442-4fe6-a9b4-dd4a0f3843d5",6,"2019-06-22T20:30:39.119Z","2019-06-22T20:30:48.529Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",2,2,1,2,88.3,82.7,3.47,1.56,7,2,0.4238,6.1818,21.6363,-26.2061,-5.9902,3.4889,-0.673,2.0472,3.0666,-128.6759,-5.2819,142.65,183.51,-1.0893,50,6.1059,-10.2465,20.4,7.2,24,1442,241,93.6,-29,5,"ground_ball","medium","4",148.38,154.87,NA,"playLog","hitting",647304,566214
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"558daf3c-f48d-4cf3-b1b2-471f28e42235",5,"2019-06-22T21:11:07.645Z","2019-06-22T21:11:14.085Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,1,0,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,1,1,4,94.2,86.6,3.4815,1.663,2,2,0.4013,5.9731,28.1528,-11.9454,-4.3008,10.5511,-0.121,3.5244,3.8135,-137.0805,-5.0662,121.61,143.56,-0.9664,50,6.201,-8.2456,30,3.6,24,2258,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",647304,566214
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"7b53e4bc-f79f-40e1-af06-3f7c9de5cbf8",7,"2019-06-22T21:59:39.154Z","2019-06-22T21:59:45.527Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,1,2,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,2,6,94.1,86.8,3.3066,1.4509,11,2,0.4014,5.9755,26.8805,-16.7176,-7.8632,8.0605,-1.205,3.1063,7.9999,-136.8145,-4.2281,162.93,154.94,-3.1291,50,5.7988,-15.0783,37.2,4.8,24,2525,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",647304,566214
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"c1fc7a7f-f7a1-4c64-9be8-72e59663d8fd",7,"2019-06-22T22:43:12.798Z","2019-06-22T22:43:18.671Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,2,2,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,1,8,95.2,88.2,3.46,1.5488,13,2,0.3974,5.7819,27.1684,-18.21,-4.0735,7.0865,-1.157,1.5061,3.0154,-138.5926,-6.4773,161.11,198.18,-1.7228,50,5.0636,-8.0269,20.4,4.8,24,2206,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",647304,566214
