"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_runner_going","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,11,0,11,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519048,289027
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519048,289027
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-4 | 3 K",1,0,1,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,3,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519048,289027
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"110906_193617","02890276-0116-0063-000c-f08cd117d70a",6,"2011-09-06T23:36:12.964Z","2011-09-06T23:36:24.000Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 34, 255, 1.0)",FALSE,TRUE,FALSE,2,0,TRUE,FALSE,NA,"S","Swinging Strike","CU","Curveball",2,3,2,2,79.1,73.6,3.4,1.64,7,0.91,23.484,-46.263,6.62,-10.5,-0.535,1.634,1.49,-115.928,-1.089,115.88,163.19,-2.048,50,6.561,8.933,10.8,14.4,24,2087,32,NA,NA,NA,NA,NA,NA,"playLog","hitting",519048,289027
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"110906_201118","02890276-0296-0033-000c-f08cd117d70a",3,"2011-09-07T00:11:14.254Z","2011-09-07T00:11:33.000Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,5,0,TRUE,FALSE,NA,"X","In play, out(s)","SI","Sinker",2,0,1,4,90.2,83.7,3.4,1.64,7,0.92,26.543,-19.018,-5.01,7.37,-0.405,2.119,6.046,-131.975,-7.433,112.45,151.97,-2.068,50,6.359,-8.891,20.4,4.8,24,1745,214,"ground_ball","medium","4",142.57,152.61,NA,"playLog","hitting",519048,289027
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"110906_204022","02890276-0426-0063-000c-f08cd117d70a",6,"2011-09-07T00:40:18.847Z","2011-09-07T00:40:34.000Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,TRUE,FALSE,7,0,TRUE,FALSE,TRUE,"S","Swinging Strike","SI","Sinker",3,3,3,5,92.4,84.7,3.4,1.64,14,2,31.32,-14.659,11.47,9.49,1.519,2.22,-5.218,-135.207,-7.718,50.64,149.38,1.991,50,6.154,21.088,50.4,6,24,2941,129,NA,NA,NA,NA,NA,NA,"playLog","hitting",519048,289027
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"110906_212657","02890276-0616-0083-000c-f08cd117d70a",8,"2011-09-07T01:26:53.093Z","2011-09-07T01:27:07.000Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,8,0,TRUE,FALSE,NA,"S","Swinging Strike","FF","Four-Seam Fastball",3,3,1,8,96.2,87.7,3.4,1.64,3,0.96,34.468,-7.589,9.25,12.33,0.309,3.09,-7.193,-140.71,-6.344,85.84,130.38,1.707,50,5.877,18.392,61.2,3.6,24,3165,143,NA,NA,NA,NA,NA,NA,"playLog","hitting",519048,289027
