"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",3,5,0,8,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606299,566002
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606299,566002
"3","gameLog","hitting",NA,0,1,"1.000",NA,NA,NA,NA,NA,NA,0,"1-4 | BB, K, RBI",1,1,0,0,0,0,0,1,1,0,1,0,4,0,0,5,1,1,1,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606299,566002
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"6645d1e5-6fd8-4ef0-9b68-21b7c1454e29",4,"2019-04-30T23:12:33.332Z","2019-04-30T23:12:41.907Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,TRUE,FALSE,0,0,TRUE,FALSE,"S","Swinging Strike","SI","Sinker",1,3,1,1,85.7,78,3.26,1.58,14,2,0.4462,5.84,25.8988,-19.2702,12.6353,8.3055,0.534,1.2835,-9.4588,-124.147,-6.2302,96.65,204.12,2.7604,50,5.4401,19.6309,40.8,7.2,24,2285,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",606299,566002
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"330246ef-3ea5-4201-8806-e5ccdf2fb464",8,"2019-04-30T23:47:14.811Z","2019-04-30T23:47:22.152Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,0,0,FALSE,FALSE,"B","Ball","SI","Sinker",4,2,2,3,86.2,78.5,3.2619,1.5359,14,2,0.4439,5.7753,26.2071,-18.4958,9.7173,8.694,0.5752,1.2097,-8.581,-124.9246,-6.4085,95.08,206.14,2.7995,50,5.3389,15.2881,34.8,6,24,2261,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",606299,566002
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"a3aff0a0-cd56-4b67-913c-21fe5b66ba80",1,"2019-05-01T00:27:27.855Z","2019-05-01T00:27:34.929Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",0,0,3,5,78.2,71.3,3.26,1.58,6,2,0.4883,5.8342,21.9038,-26.4099,12.1308,4.444,0.6575,2.1517,-8.2358,-113.508,-1.9839,91.94,180.68,2.7673,50,5.6815,15.7345,27.6,9.6,24,2198,111,65.5,75,102,"popup","medium","3",165.18,186.25,NA,"playLog","hitting",606299,566002
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"f1216510-bbb0-43d7-8dc6-491ff6e4c191",3,"2019-05-01T01:06:54.620Z","2019-05-01T01:07:03.962Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,1,1,TRUE,FALSE,"X","In play, out(s)","SL","Slider",0,2,3,7,91.1,82.5,3.2,1.5,7,2,0.4179,6.1265,32.1234,-22.0336,-1.4894,5.7989,-0.2963,1.9788,3.6919,-132.3845,-6.1008,128.29,185.4,-1.5246,50,5.9601,-2.6044,4.8,6,24,2446,190,94.6,36,346,"fly_ball","medium","8",148.42,63.83,NA,"playLog","hitting",606299,566002
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"a5a0ba91-c627-4bc8-98e0-230e6ce2ecfd",2,"2019-05-01T01:59:47.056Z","2019-05-01T02:00:02.237Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,3,3,FALSE,FALSE,"E","In play, run(s)","SI","Sinker",1,0,2,9,95.2,86.7,3.26,1.58,4,2,0.4044,5.3659,32.8179,-22.4668,-10.4847,5.0507,-0.5209,2.444,4.4107,-138.2503,-6.5132,136.86,172.84,-0.7813,50,6.3539,-20.1513,38.4,6,24,2268,246,73.7,9,116,"ground_ball","medium","8",114.63,118.06,NA,"playLog","hitting",606299,566002
