"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,2,"1.000",1,8,0,9,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669134,662209
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669134,662209
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | K",1,1,0,0,0,0,0,1,0,0,1,0,4,0,0,4,1,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669134,662209
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"530f72b9-00a1-4304-9f10-12a74d2012fd",3,"2022-09-30T02:16:08.626Z","2022-09-30T02:16:18.873Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,1,2,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",0,2,1,2,95.2,86,3.31,1.54,12,0.91,0.3975,6.3239,33.9889,-16.3845,10.8525,8.2307,0.9275,2.7675,-7.7941,-138.3746,-2.9462,81.64,164.06,2.3862,50.0026,4.9586,20.8182,48,6,24,2530,127,97.2,13,227,"line_drive","medium","9",190.38,111.25,NA,"playLog","hitting",669134,662209
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"24baf8de-0c8b-485f-afce-40c8816a6cfb",5,"2022-09-30T02:52:31.406Z","2022-09-30T02:52:40.236Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,1,2,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,2,2,4,92.1,83,3.31,1.54,12,0.9,0.4115,6.4814,32.3062,-20.0229,9.8635,6.7948,0.106,3.5635,-9.4193,-133.7591,-0.0756,112.96,142.56,2.4136,50.0049,5.0435,17.646,37.2,6,24,2352,126,96.6,32,356,"fly_ball","medium","8",129.48,55.65,NA,"playLog","hitting",669134,662209
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"62951ea4-21d8-493a-9002-6dfdb9e20c55",3,"2022-09-30T03:51:01.101Z","2022-09-30T03:51:10.820Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,2,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,1,1,7,95.6,87.4,3.31,1.54,2,0.91,0.394,6.0815,30.8761,-12.4994,4.8683,10.0507,0.0573,2.7845,-7.4932,-138.9727,-5.3404,114.82,163.6,2.1549,50.0064,5.5601,9.5339,30,3.6,24,2332,144,76.1,65,143,"popup","medium","3",171.85,151.77,NA,"playLog","hitting",669134,662209
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"44684b37-aa93-4336-92f3-a323a387c132",6,"2022-09-30T04:35:47.035Z","2022-09-30T04:35:54.469Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,TRUE,FALSE,5,2,TRUE,FALSE,"S","Swinging Strike","SL","Slider",0,3,3,8,85.2,79.1,3.31,1.54,13,0.91,0.4404,6.4137,23.0273,-27.9969,-4.5305,2.6629,-0.2806,0.7993,-1.2814,-124.0178,-6.0783,127.69,217.2,0.8306,50.0045,5.5946,-7.1114,14.4,7.2,24,2507,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",669134,662209
