"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","note","summary","games_played","fly_outs","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","number_of_pitches","innings_pitched","wins","losses","saves","save_opportunities","holds","blown_saves","earned_runs","batters_faced","outs","games_pitched","complete_games","shutouts","pitches_thrown","balls","strikes","strike_percentage","hit_batsmen","balks","wild_pitches","rbi","games_finished","runs_scored_per9","home_runs_per9","inherited_runners","inherited_runners_scored","catchers_interference","sac_bunts","sac_flies","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","left_on_base","at_bats_per_home_run","game_type","num_teams","avg","obp","slg","ops","outs_pitched","whip","ground_outs_to_airouts","pitches_per_inning","strikeout_walk_ratio","strikeouts_per9inn","walks_per9inn","hits_per9inn","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",1,0,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592767,633805
"2","gameLog","pitching",1,0,0,".---",NA,NA,NA,NA,NA,0,0,"(W, 3-3)","5.0 IP, 2 ER, 6 K, BB",1,2,6,3,2,0,0,0,6,1,0,6,0,21,91,"5.0",1,0,0,0,0,0,2,22,15,1,0,0,91,27,64,".700",0,0,1,1,0,"3.60","0.00",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592767,633805
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,NA,"0-3",1,1,1,NA,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,7,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592767,633805
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,0,0,0,5,1,0,0,0,7,41,"2.1",NA,NA,NA,NA,NA,NA,NA,8,7,3,NA,NA,NA,16,25,".610",0,0,1,0,NA,NA,"0.00",NA,NA,0,0,0,0,NA,NA,0,NA,NA,"R",2,".000",".125",".000",".125",7,"0.43","1.00","17.57","5.00","19.29","3.86","0.00",112,"Chicago Cubs","/api/v1/teams/112",146,"Miami Marlins","/api/v1/teams/146",592767,"Drew Smyly","/api/v1/people/592767","Drew","Smyly",665862,"Jazz Chisholm Jr.","/api/v1/people/665862","Jazz","Chisholm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","pitching",592767,633805
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"14721c1e-8f3f-476e-9e48-fc4ee1dab497",5,"2021-06-13T17:34:33.388Z","2021-06-13T17:34:42.514Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 34, 255, 1.0)",TRUE,FALSE,FALSE,3,0,TRUE,FALSE,"X","In play, out(s)","CU","Curveball",0,2,3,1,80.4,74.2,3.467,1.589,8,0.9,0.468,6.6014,22.3437,-36.018,6.6642,-2.7705,-0.0669,2.0367,2.0024,-117.0932,-0.4837,119.55,183.79,-1.7993,50.0039,5.6193,9.2431,14.4,10.8,24,2458,60,68.9,11,137,"ground_ball","medium","4",147.13,151.43,NA,"playLog","hitting",592767,633805
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"d2fe61bb-13de-4996-8043-4c42c98ee5f0",3,"2021-06-13T18:17:31.270Z","2021-06-13T18:17:38.858Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,1,3,3,92.5,84.5,3.467,1.589,2,0.88,0.407,6.5747,29.4859,-16.8169,-3.7424,8.3739,-0.2587,3.0786,5.6192,-134.6161,-2.9952,126.86,155.66,-1.8878,50.0014,5.3976,-6.8623,18,3.6,24,2089,225,79,34,278,"fly_ball","medium","8",93.44,93.2,NA,"playLog","hitting",592767,633805
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8fd3c9f5-d4a2-4419-9527-007b0259c753",2,"2021-06-13T19:08:02.171Z","2021-06-13T19:08:13.203Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,5,0,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",1,0,3,5,93.5,85.2,3.467,1.589,1,0.9,0.4035,6.4556,30.5812,-12.3414,-3.3047,10.636,-0.28,2.9833,6.8056,-135.88,-6.1706,127.67,158.23,-2.391,50.0018,6.146,-6.1623,19.2,3.6,24,2198,212,84.8,20,297,"line_drive","medium","8",124.38,80.62,NA,"playLog","hitting",592767,633805
