"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",2,0,0,2,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543768,490277
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543768,490277
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | HR, K, RBI",1,2,0,1,0,0,1,1,0,0,1,0,4,0,0,4,4,1,2,0,0,0,"4.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543768,490277
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"a2088305-a724-498a-8a28-6bd21e90b5c0",4,"2017-04-16T17:21:27.295Z","2017-04-16T17:21:45.280Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",2,1,2,1,96,88.8,3.842,1.589,8,2,0.3948,5.8951,27.2441,-13.7733,-7.8977,9.2544,-0.0977,1.7493,6.807,-139.1811,-10.0532,118.25,189.81,-1.5327,50,6.2892,-15.7032,42,4.8,24,2117,223,94.9,41,320,"fly_ball","medium","7",34.49,98.5,NA,"playLog","hitting",543768,490277
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"29809971-2649-4969-8588-81916afd7fe7",4,"2017-04-16T18:01:06.672Z","2017-04-16T18:01:32.698Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,3,0,FALSE,FALSE,"E","In play, run(s)","SI","Sinker",2,1,0,3,93.6,85.3,3.842,1.589,5,2,0.407,5.9395,30.0177,-9.4915,-7.1704,12.1884,-0.2463,2.4045,5.9248,-135.6513,-8.8244,126.39,173.86,-1.5285,50,6.3636,-13.3441,46.8,3.6,24,2179,211,NA,NA,NA,"fly_ball","hard","9",242.16,43.92,NA,"playLog","hitting",543768,490277
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"a41c5dee-ca31-43ec-8b04-ba7a213667dc",8,"2017-04-16T18:39:02.179Z","2017-04-16T18:39:15.058Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",3,2,1,5,86.1,78.5,3.924,1.627,5,2,0.4364,6.6586,25.7083,-22.2704,-8.959,6.2806,0.0125,2.8939,8.1254,-124.9324,-2.625,115.29,159.02,-2.1216,50,5.7931,-14.127,28.8,7.2,24,1645,237,93.5,38,325,"fly_ball","medium","7",86.53,68.01,NA,"playLog","hitting",543768,490277
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"03ebb37e-fb6f-4210-8a0f-d6d9484ed714",7,"2017-04-16T19:16:00.462Z","2017-04-16T19:16:03.832Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 85, 254, 1.0)",FALSE,TRUE,FALSE,4,2,TRUE,FALSE,"S","Swinging Strike","CH","Changeup",3,3,2,7,86.2,79.4,3.842,1.589,7,2,0.4352,6.5041,24.1172,-21.8837,-4.9104,6.4419,-0.819,1.5778,5.103,-125.2843,-5.8467,145.29,194.62,-2.2394,50,5.7177,-7.844,16.8,6,24,1603,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",543768,490277
