"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",1,5,0,6,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545361,415277
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545361,415277
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"2-3 | HR, 2 BB, RBI",1,0,0,2,0,0,1,0,2,0,2,0,3,0,0,5,5,1,1,0,0,0,"3.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545361,415277
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"150807_192741","8a67ad7f-c424-42d2-bc49-922ad132334e",2,"2015-08-08T02:27:40.570Z","2015-08-08T02:27:49.886Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,1,FALSE,FALSE,"E","In play, run(s)","FF","Four-Seam Fastball",1,0,2,1,96.9,87.8,3.58,1.65,5,2,36.949,-5.915,-6.66,13.11,-0.18,2.592,8.555,-141.53,-9.001,123.86,168.8,-2.4,50,6.218,-13.293,52.8,2.4,24,3016,206,104.9,24,423,"line_drive","medium","8",101.15,27.26,NA,"playLog","hitting",545361,415277
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150807_201129","9250e53a-b9ef-4fd7-950c-75cc512901ee",5,"2015-08-08T03:11:18.566Z","2015-08-08T03:11:21.000Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,3,1,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,1,0,4,96.4,87.9,3.58,1.65,11,2,35.077,-7.684,-6.54,12.22,-1.583,3.048,4.751,-141.16,-7.606,177.34,156.48,-2.447,50,6.287,-13.073,51.6,3.6,24,2853,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",545361,415277
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"150807_203833","181b9b0c-67a0-4437-a9cd-7be397fa1074",6,"2015-08-08T03:38:25.473Z","2015-08-08T03:38:32.469Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,3,3,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",3,2,2,5,97.7,88.6,3.58,1.65,4,2,37.361,-7.047,-6.37,12.33,-0.448,2.346,7.506,-142.73,-9.371,134.08,175.44,-2.303,50,6.141,-12.94,49.2,2.4,24,2872,207,86.4,9,146,"ground_ball","medium","9",179.89,107.21,NA,"playLog","hitting",545361,415277
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"150807_211658","aee2a883-fdf0-427d-84fb-fb914c866dbb",5,"2015-08-08T04:16:49.619Z","2015-08-08T04:16:51.789Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,4,6,FALSE,FALSE,"B","Ball","SI","Sinker",4,1,2,6,94.5,86.3,3.47,1.65,13,2,34.693,-26.35,-10.57,3,-1.249,2.526,4.906,-138.489,-5.174,164.61,170.58,-1.684,50,6.211,-20.252,34.8,7.2,24,2207,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",545361,415277
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"150807_215833","04df26f5-c86b-41dc-b5ae-c55fcff1d16d",4,"2015-08-08T04:58:29.834Z","2015-08-08T04:58:38.267Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,8,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,1,2,8,94.3,85.8,3.58,1.65,5,2,34.132,-10.944,-5.79,11.11,-0.084,2.692,6.843,-137.975,-5.536,120.2,166.1,-1.858,50,5.479,-11.032,37.2,3.6,24,2515,207,93.1,25,341,"line_drive","medium","8",158.69,65.42,NA,"playLog","hitting",545361,415277
